date_from,date_to,tier,map,legend,abi_1,abi_2,charm_1,charm_2,match_count,win_count
2023-11-05,2023-11-12,silver3,4003,124,2,5,4,2,1,0
2023-11-05,2023-11-12,silver3,4006,124,3,2,2,5,1,0
2023-11-05,2023-11-12,silver3,4006,124,3,4,1,4,1,0
2023-11-05,2023-11-12,silver3,4006,124,4,1,4,1,1,0
2023-11-05,2023-11-12,silver3,4005,124,4,1,4,1,1,0
2023-11-05,2023-11-12,silver3,4007,124,5,2,5,2,1,0
2023-11-05,2023-11-12,silver3,4008,126,0,0,2,3,1,0
2023-11-05,2023-11-12,silver3,4006,126,0,0,6,2,1,0
2023-11-05,2023-11-12,silver3,4005,126,1,2,1,2,1,0
2023-11-05,2023-11-12,silver3,4006,126,1,2,1,3,1,0
2023-11-05,2023-11-12,silver3,4008,126,1,2,1,5,1,0
2023-11-05,2023-11-12,silver3,4005,126,1,2,3,1,1,0
2023-11-05,2023-11-12,silver3,4005,126,1,2,3,5,1,0
2023-11-05,2023-11-12,silver3,4009,126,1,2,3,5,1,0
2023-11-05,2023-11-12,silver3,4009,126,1,4,5,3,1,1
2023-11-05,2023-11-12,silver3,4003,126,1,4,5,3,1,0
2023-11-05,2023-11-12,silver3,4003,126,1,5,1,5,1,1
2023-11-05,2023-11-12,silver3,4006,126,1,5,1,5,1,0
2023-11-05,2023-11-12,silver3,4005,126,1,5,4,1,1,1
2023-11-05,2023-11-12,silver3,4007,126,1,5,6,2,1,0
2023-11-05,2023-11-12,silver3,4005,126,1,5,6,2,1,0
2023-11-05,2023-11-12,silver3,4007,126,2,4,6,1,1,0
2023-11-05,2023-11-12,silver3,4008,126,2,4,6,1,1,0
2023-11-05,2023-11-12,silver3,4009,126,2,4,6,3,1,0
2023-11-05,2023-11-12,silver3,4005,126,2,4,6,3,1,0
2023-11-05,2023-11-12,silver3,4007,126,2,5,1,2,1,0
2023-11-05,2023-11-12,silver3,4003,126,2,5,2,5,1,0
2023-11-05,2023-11-12,silver3,4007,126,3,2,4,5,1,0
2023-11-05,2023-11-12,silver3,4006,126,3,2,4,5,1,1
2023-11-05,2023-11-12,silver3,4007,126,3,2,6,4,1,0
2023-11-05,2023-11-12,silver3,4008,126,3,5,4,3,1,0
2023-11-05,2023-11-12,silver3,4006,126,3,5,4,3,1,0
2023-11-05,2023-11-12,silver3,4005,126,3,5,5,3,1,0
2023-11-05,2023-11-12,silver3,4008,126,4,2,1,2,1,0
2023-11-05,2023-11-12,silver3,4005,126,4,2,1,2,1,1
2023-11-05,2023-11-12,silver3,4003,126,4,2,1,4,1,0
2023-11-05,2023-11-12,silver3,4003,126,4,2,2,3,1,0
2023-11-05,2023-11-12,silver3,4003,126,4,2,4,5,1,1
2023-11-05,2023-11-12,silver3,4006,126,4,2,4,5,1,0
2023-11-05,2023-11-12,silver3,4008,126,4,2,4,5,1,0
2023-11-05,2023-11-12,silver3,4007,126,4,2,4,5,1,0
2023-11-05,2023-11-12,silver3,4007,126,4,5,1,2,1,0
2023-11-05,2023-11-12,silver3,4007,126,4,5,1,4,1,0
2023-11-05,2023-11-12,silver3,4003,126,4,5,1,4,1,0
2023-11-05,2023-11-12,silver3,4005,126,4,5,1,4,2,1
2023-11-05,2023-11-12,silver3,4006,126,4,5,1,4,1,0
2023-11-05,2023-11-12,silver3,4009,126,4,5,2,6,1,1
2023-11-05,2023-11-12,silver3,4008,126,4,5,2,6,1,0
2023-11-05,2023-11-12,silver3,4005,126,4,5,4,5,1,0
2023-11-05,2023-11-12,silver3,4009,126,4,5,4,5,1,0
2023-11-05,2023-11-12,silver3,4005,126,4,5,6,3,1,0
2023-11-05,2023-11-12,silver3,4009,126,4,5,6,3,1,1
2023-11-05,2023-11-12,silver3,4008,126,4,5,6,3,2,0
2023-11-05,2023-11-12,silver3,4007,126,4,5,6,3,1,0
2023-11-05,2023-11-12,silver3,4008,126,5,1,3,4,1,0
2023-11-05,2023-11-12,silver3,4005,126,5,2,1,3,1,0
2023-11-05,2023-11-12,silver3,4007,126,5,2,4,1,1,0
2023-11-05,2023-11-12,silver3,4008,126,5,2,4,2,2,2
2023-11-05,2023-11-12,silver3,4003,126,5,2,4,2,1,0
2023-11-05,2023-11-12,silver3,4008,126,5,3,3,5,1,0
2023-11-05,2023-11-12,silver3,4003,126,5,3,3,5,6,2
2023-11-05,2023-11-12,silver3,4006,126,5,3,3,5,3,0
2023-11-05,2023-11-12,silver3,4009,126,5,3,3,5,2,1
2023-11-05,2023-11-12,silver3,4007,126,5,3,3,5,2,1
2023-11-05,2023-11-12,silver3,4008,126,5,3,5,2,1,0
2023-11-05,2023-11-12,silver3,4006,126,5,3,6,1,1,1
2023-11-05,2023-11-12,silver3,4009,126,5,3,6,4,1,0
2023-11-05,2023-11-12,silver3,4006,128,1,0,2,3,1,0
2023-11-05,2023-11-12,silver3,4008,128,1,4,1,4,1,0
2023-11-05,2023-11-12,silver3,4007,128,1,4,2,4,1,0
2023-11-05,2023-11-12,silver3,4007,128,1,4,2,5,1,0
2023-11-05,2023-11-12,silver3,4007,128,1,5,5,1,1,0
2023-11-05,2023-11-12,silver3,4003,128,2,5,3,1,1,0
2023-11-05,2023-11-12,silver3,4006,128,3,2,1,3,1,0
2023-11-05,2023-11-12,silver3,4003,128,3,2,1,3,1,1
2023-11-05,2023-11-12,silver3,4007,128,3,2,1,3,1,1
2023-11-05,2023-11-12,silver3,4009,128,3,2,1,3,1,0
2023-11-05,2023-11-12,silver3,4005,128,3,4,5,4,1,0
2023-11-05,2023-11-12,silver3,4007,128,4,2,3,1,1,0
2023-11-05,2023-11-12,silver3,4003,128,5,1,2,3,2,2
2023-11-05,2023-11-12,silver3,4007,128,5,1,2,3,1,1
2023-11-05,2023-11-12,silver3,4007,128,5,2,1,3,1,0
2023-11-05,2023-11-12,silver3,4005,128,5,2,6,2,1,0
2023-11-05,2023-11-12,silver3,4006,129,4,5,3,1,1,0
2023-11-05,2023-11-12,silver3,4007,130,1,0,5,2,1,0
2023-11-05,2023-11-12,silver3,4003,130,1,0,5,2,1,1
2023-11-05,2023-11-12,silver3,4005,130,1,2,5,2,1,0
2023-11-05,2023-11-12,silver3,4006,130,1,2,5,2,1,1
2023-11-05,2023-11-12,silver3,4003,130,1,3,5,2,1,1
2023-11-05,2023-11-12,silver3,4008,130,1,3,5,2,1,1
2023-11-05,2023-11-12,silver3,4006,130,1,3,5,2,1,0
2023-11-05,2023-11-12,silver3,4008,130,1,4,5,2,1,0
2023-11-05,2023-11-12,silver3,4005,130,3,5,3,1,1,0
2023-11-05,2023-11-12,silver3,4008,130,5,3,1,3,1,0
2023-11-05,2023-11-12,silver3,4007,130,5,3,1,3,2,0
2023-11-05,2023-11-12,silver3,4005,130,5,3,1,3,2,0
2023-11-05,2023-11-12,silver3,4007,130,5,4,2,5,1,0
2023-11-05,2023-11-12,silver3,4006,130,5,4,2,6,1,0
2023-11-05,2023-11-12,silver3,4006,131,3,5,6,3,1,0
2023-11-05,2023-11-12,silver3,4007,131,5,1,3,5,1,1
2023-11-05,2023-11-12,silver3,4003,131,5,1,3,5,1,1
2023-11-05,2023-11-12,silver3,4005,131,5,1,3,5,2,0
2023-11-05,2023-11-12,silver3,4009,131,5,1,3,5,2,0
2023-11-05,2023-11-12,silver3,4008,131,5,1,3,5,1,0
2023-11-05,2023-11-12,silver3,4003,131,5,3,3,4,1,0
2023-11-05,2023-11-12,silver3,4009,132,1,2,4,2,1,0
2023-11-05,2023-11-12,silver3,4008,132,3,2,4,2,1,0
2023-11-05,2023-11-12,silver3,4005,132,3,2,4,2,1,1
2023-11-05,2023-11-12,silver3,4009,133,0,0,5,2,1,0
2023-11-05,2023-11-12,silver3,4009,133,1,4,6,2,1,1
2023-11-05,2023-11-12,silver3,4007,133,2,1,1,6,1,0
2023-11-05,2023-11-12,silver3,4007,133,2,4,5,6,1,1
2023-11-05,2023-11-12,silver3,4008,133,2,4,5,6,1,0
2023-11-05,2023-11-12,silver3,4003,133,2,4,5,6,2,0
2023-11-05,2023-11-12,silver3,4009,133,2,4,5,6,1,1
2023-11-05,2023-11-12,silver3,4006,133,2,4,5,6,1,0
2023-11-05,2023-11-12,silver3,4007,133,3,4,5,6,1,0
2023-11-05,2023-11-12,silver3,4005,133,5,4,5,6,1,0
2023-11-05,2023-11-12,silver3,4005,134,2,5,3,2,2,2
