date_from,date_to,tier,map,legend,match_count,win_count,win_pct,abi1,abi2,abi3,abi4,abi5,abi0,e_blue,e_pink,e_yellow,e_green,e_red,e_gray
2023-11-05,2023-11-12,silver3,fac,don,1,1,100.0,1,1,0,0,0,0,0,0,0,1,0,1
2023-11-05,2023-11-12,silver3,fac,don,1,0,0.0,1,1,0,0,0,0,1,0,0,0,1,0
2023-11-05,2023-11-12,silver3,strato,don,1,1,100.0,1,1,0,0,0,0,1,0,0,0,1,0
2023-11-05,2023-11-12,silver3,noon,don,2,1,50.0,1,1,0,0,0,0,1,0,0,0,1,0
2023-11-05,2023-11-12,silver3,noon,don,1,0,0.0,1,1,0,0,0,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,proto,don,1,0,0.0,1,1,0,0,0,0,0,1,0,0,0,1
2023-11-05,2023-11-12,silver3,noon,don,1,1,100.0,1,0,1,0,0,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,fac,don,2,0,0.0,1,0,1,0,0,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,night,don,1,0,0.0,1,0,1,0,0,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,noon,don,1,1,100.0,1,0,0,0,1,0,0,0,0,1,0,1
2023-11-05,2023-11-12,silver3,sunset,don,1,1,100.0,1,0,0,0,1,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,strato,don,7,2,28.57142857142857,1,0,0,0,1,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,fac,don,1,0,0.0,1,0,0,0,1,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,proto,don,1,0,0.0,1,0,0,0,1,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,noon,don,2,2,100.0,1,0,0,0,1,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,night,don,2,0,0.0,1,0,0,0,1,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,noon,don,1,0,0.0,1,0,0,0,1,0,0,0,0,0,1,1
2023-11-05,2023-11-12,silver3,night,don,1,1,100.0,1,0,0,0,1,0,0,0,0,0,1,1
2023-11-05,2023-11-12,silver3,proto,don,1,1,100.0,0,1,0,0,1,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,noon,don,1,0,0.0,0,1,1,0,0,0,0,0,1,1,0,0
2023-11-05,2023-11-12,silver3,night,don,1,1,100.0,0,1,1,0,0,0,1,1,0,0,0,0
2023-11-05,2023-11-12,silver3,proto,don,1,0,0.0,0,1,1,0,0,0,1,1,0,0,0,0
2023-11-05,2023-11-12,silver3,night,don,1,0,0.0,0,0,0,1,1,0,0,0,0,1,0,1
2023-11-05,2023-11-12,silver3,sunset,don,1,0,0.0,0,0,0,1,1,0,0,0,0,1,0,1
2023-11-05,2023-11-12,silver3,fac,don,1,1,100.0,1,0,0,0,1,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,noon,don,1,1,100.0,1,0,0,0,1,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,strato,don,2,0,0.0,1,0,0,0,1,0,0,0,0,0,1,1
2023-11-05,2023-11-12,silver3,fac,don,2,0,0.0,1,0,0,0,1,0,0,0,0,0,1,1
